symbol,systematic_name,nutrient,rate,expression
SFB2,YNL049C,Glucose,0.05,-0.24
QRI7,YDL104C,Glucose,0.05,-0.02
CFT2,YLR115W,Glucose,0.05,-0.33
SSO2,YMR183C,Glucose,0.05,0.05
PSP2,YML017W,Glucose,0.05,-0.69
RIB2,YOL066C,Glucose,0.05,-0.55
VMA13,YPR036W,Glucose,0.05,-0.75
EDC3,YEL015W,Glucose,0.05,-0.24
VPS5,YOR069W,Glucose,0.05,-0.16
AMN1,YBR158W,Glucose,0.05,0.18
SCW11,YGL028C,Glucose,0.05,-0.67
DSE2,YHR143W,Glucose,0.05,-0.59
COX15,YER141W,Glucose,0.05,-0.28
SPE1,YKL184W,Glucose,0.05,-0.19
MTF1,YMR228W,Glucose,0.05,-0.42
KSS1,YGR040W,Glucose,0.05,-0.76
YAP7,YOL028C,Glucose,0.05,-0.51
YVC1,YOR087W,Glucose,0.05,-0.4
CDC40,YDR364C,Glucose,0.05,-0.19
RMD1,YDL001W,Glucose,0.05,-0.22
PCL6,YER059W,Glucose,0.05,-0.25
AI4,Q0065,Glucose,0.05,-0.36
GGC1,YDL198C,Glucose,0.05,0.76
SUL1,YBR294W,Glucose,0.05,-0.32
RAD57,YDR004W,Glucose,0.05,-0.19
PER1,YCR044C,Glucose,0.05,-0.21
YHC3,YJL059W,Glucose,0.05,0.02
SGE1,YPR198W,Glucose,0.05,0.22
HNM1,YGL077C,Glucose,0.05,-0.67
SWI1,YPL016W,Glucose,0.05,-0.23
NAM8,YHR086W,Glucose,0.05,-0.24
BGL2,YGR282C,Glucose,0.05,-0.08
ACT1,YFL039C,Glucose,0.05,-0.04
SFL1,YOR140W,Glucose,0.05,-0.18
OYE3,YPL171C,Glucose,0.05,-0.9
MMP1,YLL061W,Glucose,0.05,-0.58
MHT1,YLL062C,Glucose,0.05,-1.38
SUL2,YLR092W,Glucose,0.05,-1.14
IPP1,YBR011C,Glucose,0.05,-0.55
CWP1,YKL096W,Glucose,0.05,-0.91
LEU9,YOR108W,Glucose,0.05,-0.08
LEU1,YGL009C,Glucose,0.05,-1.12
LEU2,YCL018W,Glucose,0.05,-0.59
LEU4,YNL104C,Glucose,0.05,2.61
ADH2,YMR303C,Glucose,0.05,6.28
SFB2,YNL049C,Glucose,0.1,-0.13
